Day,Fassala-Mbera sim,Fassala-Mbera data,Fassala-Mbera error,Mentao sim,Mentao data,Mentao error,Bobo-Dioulasso sim,Bobo-Dioulasso data,Bobo-Dioulasso error,Abala sim,Abala data,Abala error,Mangaize sim,Mangaize data,Mangaize error,Niamey sim,Niamey data,Niamey error,Tabareybarey sim,Tabareybarey data,Tabareybarey error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
25,10020,21763,0.5395855350824794,103,2394,0.9569757727652465,95,953,0.9003147953830011,687,520,0.3211538461538461,860,865,0.005780346820809301,16,0,0.0,8,0,0.0,0.5694874311164791,26495,26493,26494,11789,0
26,10109,22307,0.5468238669475949,154,2394,0.935672514619883,134,956,0.8598326359832635,687,513,0.3391812865497077,860,864,0.00462962962962965,17,0,0.0,9,0,0.0,0.5720415788110828,27034,27032,27033,11970,0
27,10199,22850,0.5536542669584246,212,2394,0.9114452798663325,160,959,0.8331595411887383,687,506,0.35770750988142286,860,864,0.00462962962962965,17,0,0.0,9,0,0.0,0.574604671405774,27573,27571,27572,12144,0
28,10263,23394,0.5612977686586305,286,2394,0.8805346700083543,209,962,0.7827442827442828,684,499,0.3707414829659319,860,863,0.0034762456546929554,17,0,0.0,9,0,0.0,0.5765003023727366,28112,28110,28111,12328,0
29,10337,23536,0.5608004758667573,358,2394,0.8504594820384295,250,965,0.7409326424870466,683,492,0.3882113821138211,860,863,0.0034762456546929554,17,0,0.0,9,0,0.0,0.5724096428192148,28250,28248,28249,12514,0
30,10412,23678,0.5602669144353408,442,2394,0.8153717627401837,286,968,0.7045454545454546,685,485,0.41237113402061865,859,863,0.004634994206257237,19,0,0.0,10,0,0.0,0.5683235283756649,28388,28386,28387,12713,0
31,10476,23820,0.5602015113350126,517,2394,0.7840434419381788,337,971,0.6529351184346035,684,478,0.4309623430962344,859,862,0.0034802784222738303,19,0,0.0,10,0,0.0,0.5641915579862572,28525,28523,28524,12902,0
32,10545,23963,0.5599465843174894,612,2394,0.7443609022556391,384,974,0.6057494866529773,683,579,0.17962003454231423,859,880,0.02386363636363631,19,39,0.5128205128205128,10,19,0.4736842105263158,0.5527091205324643,28848,28846,28847,13112,0
33,10614,24273,0.5627240143369175,703,2394,0.7063492063492063,430,977,0.5598771750255885,692,680,0.01764705882352935,859,898,0.04342984409799555,20,78,0.7435897435897436,25,38,0.3421052631578947,0.5460340184749634,29338,29336,29337,13343,0
34,10696,24583,0.5649025749501688,806,2394,0.6633249791144529,482,980,0.5081632653061224,885,782,0.13171355498721238,982,916,0.07205240174672478,20,117,0.829059829059829,809,58,12.948275862068966,0.5695799389855509,29830,29828,29829,14680,0
